GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Column1
URN:CornellLabOfOrnithology:EBIRD:OBS570779581,1/24/2018 14:41,19073,species,American Crow,Corvus brachyrhynchos,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Rudder Rd., Hope Hull",L982093,H,32.2531502,-86.3512194,1/5/2018,2:20:00 PM,obsr231506,S42207073,Traveling,P22,EBIRD,15,1.609,,2,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563756637,1/3/2018 22:54,19073,species,American Crow,Corvus brachyrhynchos,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Windham Rd., Pintlala",L665057,H,32.1883615,-86.3681602,1/2/2018,8:02:00 AM,obsr665305,S41603999,Traveling,P22,EBIRD,18,1.706,,2,1,G2836759,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563333659,1/3/2018 22:54,19073,species,American Crow,Corvus brachyrhynchos,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Windham Rd., Pintlala",L665057,H,32.1883615,-86.3681602,1/2/2018,8:02:00 AM,obsr130801,S41567526,Traveling,P22,EBIRD,18,1.706,,2,1,G2836759,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563148351,1/9/2018 21:46,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Bankhead Ave,L6654172,P,32.3488616,-86.2892284,1/2/2018,10:40:00 AM,obsr130801,S41550556,Traveling,P22,EBIRD,23,2.189,,2,1,G2836779,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS566089279,1/10/2018 16:17,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Folsom Building,L6698646,P,32.378946,-86.299321,1/10/2018,12:40:00 PM,obsr228192,S41800795,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563757539,1/9/2018 21:46,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Bankhead Ave,L6654172,P,32.3488616,-86.2892284,1/2/2018,10:40:00 AM,obsr665305,S41604088,Traveling,P22,EBIRD,23,2.189,,2,1,G2836779,0,1,0,,Montgomery AL Christmas Bird Count,,
URN:CornellLabOfOrnithology:EBIRD:OBS573616617,5/1/2018 13:28,19073,species,American Crow,Corvus brachyrhynchos,,,3,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Pelzer AVE,L6811785,P,32.389025,-86.2544239,1/30/2018,9:00:00 AM,obsr1013387,S42440448,Stationary,P21,EBIRD,420,,,1,1,,0,1,0,,Back Yard Feeder,,
URN:CornellLabOfOrnithology:EBIRD:OBS570204089,1/22/2018 13:06,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Montgomery, AL  36117, Montgomery US-AL (32.3710,-86.1814)",L6762834,P,32.37105,-86.181377,1/22/2018,11:48:00 AM,obsr665305,S42157936,Traveling,P22,EBIRD,19,3.427,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS565036961,1/7/2018 13:31,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,The Waters--Entrance Ponds,L4015014,H,32.3362785,-86.0345364,1/7/2018,12:14:00 PM,obsr35725,S41712398,Stationary,P21,EBIRD,15,,,1,1,,0,1,0,,Weather filtered sun through thin overcast and cool; temp 50 F. Stopped along road with scope noting all birds detected.,,
URN:CornellLabOfOrnithology:EBIRD:OBS565027324,1/7/2018 13:11,19073,species,American Crow,Corvus brachyrhynchos,,,3,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,The Waters--Lake Cameron,L2521696,H,32.350288,-86.0243332,1/7/2018,11:41:00 AM,obsr35725,S41711548,Traveling,P22,EBIRD,22,1.081,,1,1,,0,1,0,,"Weather filtered sunny through a thin overcast, breezy and cool; temp 48 F. Drove road along lakeshore stopping intermittently noting all birds detected.",,
URN:CornellLabOfOrnithology:EBIRD:OBS563757396,1/6/2018 18:34,19073,species,American Crow,Corvus brachyrhynchos,,,3,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Huntingdon College,L2482942,H,32.3501016,-86.285339,1/2/2018,10:07:00 AM,obsr665305,S41604072,Traveling,P22,EBIRD,30,0.789,,2,1,G2836776,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563135906,1/6/2018 18:34,19073,species,American Crow,Corvus brachyrhynchos,,,3,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Huntingdon College,L2482942,H,32.3501016,-86.285339,1/2/2018,10:07:00 AM,obsr130801,S41549538,Traveling,P22,EBIRD,30,0.789,,2,1,G2836776,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS570775035,1/24/2018 14:20,19073,species,American Crow,Corvus brachyrhynchos,,,4,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"East McLean Rd., Hope Hull",L1070027,H,32.2373067,-86.3624096,1/24/2018,11:10:00 AM,obsr231506,S42206713,Stationary,P21,EBIRD,10,,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS570986312,1/26/2018 8:08,19073,species,American Crow,Corvus brachyrhynchos,,,4,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"6687–7007 Old Pike Rd, Pike Road US-AL (32.2624,-86.0808)",L6773728,P,32.262419,-86.080831,1/25/2018,8:42:00 AM,obsr610490,S42224471,Traveling,P22,EBIRD,20,1.609,,2,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS566304678,1/11/2018 11:32,19073,species,American Crow,Corvus brachyrhynchos,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"1 Festival Dr, Montgomery US-AL (32.3525,-86.2122)",L6433332,P,32.352499,-86.212244,1/11/2018,10:19:00 AM,obsr665305,S41818329,Traveling,P22,EBIRD,12,2.611,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS571034544,1/25/2018 16:59,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Old Pike Nrace, Pike Road, Alabama, US (32.262, -86.08)",L6773557,P,32.26151,-86.0801879,1/25/2018,8:47:00 AM,obsr837333,S42228568,Stationary,P21,EBIRD,19,,,2,1,G2893305,0,1,0,,Along with Cindy Mirarchi......,,
URN:CornellLabOfOrnithology:EBIRD:OBS570975325,1/25/2018 16:59,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Old Pike Nrace, Pike Road, Alabama, US (32.262, -86.08)",L6773557,P,32.26151,-86.0801879,1/25/2018,8:47:00 AM,obsr411273,S42223691,Stationary,P21,EBIRD,19,,,2,1,G2893305,0,1,0,,Along with Cindy Mirarchi......,,
